Author,Affiliation
Yi Li,Fu-jen Catholic University / National Taipei College of Nursing / National Cheng Kung …
Ruosong Wang,Carnegie Mellon University
Lin Yang,"Professor of the Department of Information Enginering and Computer Science, Feng Chia …"
Miaoyun Zhao,Duke University
Yulai Cong,"ECE, Duke University"
Lin Chen,"WPI-Advanced Institute for Materials Research (WPI-AIMR), Tohoku University"
Mingrui Zhang,"PhD in the information school, University of Washington"
Nathan Kallus,Cornell University
Xuxi Chen,WuXi NextCODE
Wuyang Chen,Texas A&M University
Tianlong Chen,Texas A&M University
Ye Yuan,"professor of chemistry, chung yuan christian university"
Chen Gong,"Professor of Mechanical Engineering, National Cheng Kung University"
Kewei Chen,"Banner Alzheimer's Institute, Phoenix, AZ"
Zhangyang Wang,"Assistant Professor, Texas A&M University"
Yuning You,"PhD student, Texas A&M University"
Yang Shen,University of Rhode Island
Di Wang,"Associated Professor of Immunology, Zhejiang University"
Hanshen Xiao,MIT
Srinivas Devadas,"Edwin Sibley Webster Professor of Electrical Engineering and Computer Science, MIT"
Jinhui Xu,Arizona State University
Filip Hanzely,"PhD student, KAUST"
Dmitry Kovalev,"Professor of Physics, University of Bath"
Peter Richtarik,"Professor, KAUST"
Nikita Doikov,Université catholique de Louvain (UCL)
Yurii Nesterov,"Professor of Université catholique de Louvain (UCL), CORE(IMMAQ) and INMA(ICTEAM …"
Philip Ball,ball state university
Stephen Roberts,"Professor and Director, Therapeutics Research Centre, Universities of Queensland and …"
Uri Alon,"Weizmann Institute, Princeton University"
Omer Levy,Tel Aviv University
Eran Yahav,"Technion, Israel"
Jingqing Zhang,Grad Student of Massachusetts Institute of Technology
Yao Zhao,"Supply Chain Management, Rutgers University"
Mohammad Saleh,nan
Peter J. Liu,Auburn University
Tuan-Binh Nguyen,"PhD Student, INRIA Parietal / Institute Mathématiques d'Orsay"
Jerome-Alexis Chevalier,"Inria Saclay, Telecom ParisTech"
Thirion Bertrand,Inria
Sylvain Arlot,Université Paris-Saclay
Simon Schmitt,Simon Fraser University
Matteo Hessel,"Research Engineer, Google DeepMind"
Karen Simonyan,Google DeepMind
Liudmila Prokhorenkova,Yandex
Aleksandr Shekhovtsov,Czech Technical University in Prague
Amin Rakhsha,"B.Sc. Student, Sharif University of Technology"
Goran Radanovic,"Research Group Leader, Max Planck Institute for Software Systems"
Rati Devidze,Max Planck Institute for Software Systems (MPI-SWS)
Jerry Zhu,Professor in Computer Science at University of Wisconsin-Madison
Adish Singla,"Tenure-track Faculty, Max Planck Institute for Software Systems (MPI-SWS), Germany"
Dejun Chu,nan
Changshui Zhang,"Dept. Automation, Tsinghua University, Beijing, China"
Shiliang Sun,East China Normal University
Qing Tao,"Senior Principal Research Manager, Microsoft Research Asia"
Christoph Zimmer,"Institut Pasteur, Paris, France, Imaging and Modeling Unit"
Reza Yaesoubi,Yale School of Public Health
Rotem Mulayoff,"PhD Candidate, Technion - Israel Institute of Technology"
Tomer Michaeli,"Assistant Professor, Technion - Israel Institute of Technology"
Chengchun Shi,"Changchun Institute of Applied Chemistry, Chinese Academy of Sciences"
Ling Leng,Georgia College & State University
Jiaxian Guo,The University of Sydney
Mingming Gong,The University of Melbourne
Tongliang Liu,The University of Sydney
Kun Zhang,University of California at San Diego
Hongseok Yang,"Professor, School of Computing, KAIST"
Tom Rainforth,University of Oxford
Pierre Laforgue,"PhD Candidate, Télécom Paris"
Florence d'Alche-Buc,Institut Mines-Télécom / Télécom ParisTech
Liangyu Zhu,"PhD student, The University of British Columbia"
Zhun Deng,"China University of Petroleum, Beijing 中国石油大学(北京)"
Hangfeng He,"Ph.D. Candidate of Computer Science, University of Pennsylvania"
Weijie Su,"Assistant Professor of Statistics, University of Pennsylvania"
Cynthia Dwork,Microsoft Research
Jialiang Wang,University of Wisconsin-Madison
Linjun Zhang,"Beijing Normal University, Beijing Language and Culture University"
Markos Georgopoulos,Imperial College London
Grigorios Chrysos,Imperial College London
Yannis Panagakis,University of Athens
Maja Pantic,"Professor, Imperial College London / AI Scientific Research Lead, Facebook London"
Evrard Garcelon,Facebook AI Research
Matteo Pirotta,"Research Scientist, FAIR"
Alessandro Lazaric,"Research Scientist, Facebook Artificial Intelligence Research"
Sasha Vezhnevets,"Research Scientist, Google DeepMind"
Yuhuai Wu,University of Toronto
Maria Eckstein,"Graduate student, UC Berkeley"
Rémi Leblond,"Research Scientist, DeepMind"
Joel Z Leibo,Research scientist
Fereshte Khani,Stanford University
Percy Liang,"Associate Professor of Computer Science, Stanford University"
Gregor Simm,University of Cambridge
Robert Pinsler,"PhD Student, University of Cambridge"
Jose Miguel Hernandez-Lobato,University Lecturer (US Assistant Professor) University of Cambridge
Samrath Sinha,Undergrad @ University of Toronto
Anirudh Goyal,"Mila, Université de Montréal"
Hugo Larochelle,Google Brain
Augustus Odena,"Research Scientist, Google Brain"
Maria Vladarean,nan
Ya-Ping Hsieh,"IAMS, Academia Sinica"
Volkan Cevher,"Associate Professor, Laboratory for Information and Inference Systems, EPFL"
Arash Vahdat,Senior Research Scientist at NVIDIA Research
Evgeny Andriyash,Sanctuary AI
William Macready,Sanctuary AI
Horng-Tzer Yau,Harvard University
Debjani Saha,"Sister Nivedita University, techno India Group"
Candice Schumann,University of Maryland
Duncan McElfresh,"University of Maryland, College Park"
John P Dickerson,"Assistant Professor of Computer Science, University of Maryland"
Michelle Mazurek,"Assistant Professor, University of Maryland"
Kristy Choi,Stanford University
Ian Simon,"Simon Fraser University and Luiss Center in Leadership, Innovation and Organisation (CLIO …"
Monica  Dinculescu,Google
JesseEngel Engel,Google Brain
Sijia Liu,"Research Staff Member, MIT-IBM Watson AI Lab, IBM Research"
Songtao Lu,IBM Thomas J. Watson Research Center
Xiangyi Chen,University of Minnesota
Yao Feng,"poet,  translator and curator, University of Macau"
Kaidi Xu,Northeastern University
Abdullah Al-Dujaili,Analog Devices
Mingyi Hong,"Professor of Accounting, The Hong Kong University of Science and Technology"
Una-May O'Reilly,"MIT, CSAIL, Any Scale Learning for All (ALFA) Group"
DiJia Su,Princeton University
Tyler Lu,"Research Scientist, Google"
Dale Schuurmans,"Research Scientist, Google Brain / Professor, University of Alberta"
Craig Boutilier,"Principal Scientist, Google"
Zheng Wang,"Ruhr-Universität Bochum, UCAS"
Xinqi Chu,"University of Illinois, Urbana-Champaign"
Shandian Zhe,"School of Computing, University of Utah"
Yanyao Shen,"PhD student, University of Texas at Austin"
Sujay Sanghavi,"Associate Professor, Electrical and Computer Engineering, WNCG, University of Texas …"
Razieh Nabi,"Graduate Research Assistant, Johns Hopkins University"
Rohit Bhattacharya,Johns Hopkins University
Ilya Shpitser,"Malone Assistant Professor, Department of Computer Science, Johns Hopkins University"
Hung Le,"University Professor Emeritus, School of Environmental Sciences, University of Guelph"
Truyen Tran,"Associate Professor, Applied AI Institute, Deakin University"
Svetha Venkatesh,"Professor of Computer Science, Deakin University"
William Chan,Harvard TH Chan School of Public Health
Chitwan Saharia,"Google Brain, Toronto"
Geoffrey Hinton,"Emeritus Prof. Comp Sci, U.Toronto & Engineering Fellow, Google"
Mohammad Norouzi,"Staff Scientist, Google Brain"
Navdeep Jaitly,The DE Shaw Group
Hao Wang,"Professor of Composite and Concrete Materials, University of Southern Queensland"
Hao He,"CTO, SoftTouchIT"
Dina Katabi,"Professor of EECS, MIT"
Esteban Real,Google Brain
Chen Liang,"Ningbo Institute of Materials Technology & Engineering, CAS"
David So,"Bioinformatics Facility, Centro de Biología Molecular - SO"
Quoc Le,"Research Scientist, Google Brain"
Qiang Zhang,Sun Yat-sen University （中山大学水资源与环境系）
Aldo Lipani,Asst. Prof. at UCL
Omer Kirnap,"University College London, Web Intelligence Group"
Emine Yilmaz,University College London
Yuguang Yue,University of New South Wales; Max Planck Institute for Mathematics in Sciences
Purnamrita Sarkar,"Assistant Professor, Statistics and Data Sciences, University of Texas at Austin"
Y. X. Rachel Wang,"School of Mathematics and Statistics, University of Sydney"
Mingrui Liu,"Ph.D. Candidate, The University of Iowa"
Li Shen,"Professor of Informatics, University of Pennsylvania Perelman School of Medicine"
Wei Liu,"Associate Professor, Department of Astronautic Science and Mechanics, Harbin Institute of …"
Tianbao Yang,University of Iowa
Corinna Cortes,"Google Research, NY"
Giulia DeSalvo,New York University
Claudio Gentile,"Google Research, New York, USA"
Sumeet Katariya,University of Wisconsin Madison
Robert Nowak,"Nosbusch Professor in Engineering and Wisconsin Institute for Discovery, UW-Madison"
Qi Cai,"Research Scientist, Amazon"
Che Wang,Liaoning Normal University
Yanqiu Wu,"PhD student, New York University"
Quan Vuong,Phenikaa University
Keith Ross,"Leonard J. Shustek Professor of Computer Science, Dept. of Computer Science and …"
Maya Gupta,"Researcher, Google Research (Formerly Prof. at Univ. Washington)"
Erez Louidor,Google Inc.
Sen Zhao,"State key laboratory of ophthalmology, Zhongshan Ophthalmic Center of Sun Yat-sen …"
Yasutoshi Ida,NTT
Sekitoshi Kanai,NTT
Yasuhiro Fujiwara,NTT
Tomoharu Iwata,NTT
Koh Takeuchi,National Institute of Advanced Industrial Science and Technology (AIST)
Hisashi Kashima,"Professor, Kyoto University"
Minsoo Kang,University of Mississippi
Bohyung Han,"Associate Professor, Seoul National University"
Xingjun Ma,"Lecturer@Deakin University, Honorary Fellow@University of Melbourne"
Yisen Wang,Graduate from Tsinghua University
Simone Romano,University of Napoli
Sarah Erfani,"Senior Lecturer, Computing and Information Systems, University of Melbourne"
James Bailey,"Professor, School of Computing and Information Systems, University of Melbourne"
Feng Liu,"State Key Laboratory for GeoMechanics and Deep Underground Engineering, China …"
Jie Lu,UCLA
Guangquan Zhang,University of Technology Sydney
D.J. Sutherland,Toyota Technological Institute at Chicago
Maarten Buyl,PhD student at Ghent University
Tijl De Bie,"Full Professor, Ghent University"
Yongchan Kwon,Louisiana State University
Wonyoung Kim,Chung-Ang University
Myunghee Cho Paik,"Professor of Statistics, Seoul National University"
Trevor Davis,"PhD student, University of Alberta"
Martin Schmid,"Aarhus University, Denmark"
Michael Bowling,University of Alberta / DeepMind
Alexander Shevchenko,"The Institute of High Technology, Taras Shevchenko, National Kiev University"
Marco Mondelli,"Assistant Professor, IST Austria"
Joel Frank,Harry Frank Guggenheim Foundation
Lea Schönherr,Ruhr University Bochum
Dorothea Kolossa,Ruhr-Universität Bochum
Thorsten Holz,Ruhr-Universität Bochum
Asja Fischer,"Professor for Machine Learning, Ruhr University Bochum"
Priyank Jaini,nan
Ivan Kobyzev,"ML Researcher, Borealis AI"
Marcus Brubaker,"Assistant Professor, York University"
Wendelin Boehmer,"Whiteson Research Lab, University of Oxford"
Vitaly Kurin,"Machine Learning PhD student at the University of Oxford, Whiteson Research lab"
Eliya Nachmani,PhD student at Tel-Aviv University & Facebook AI Research (FAIR)
Yossi Adi,Research scientist at Facebook AI Research
Lior Wolf,The School of Computer Science at Tel Aviv University
Nir Rosenfeld,Harvard University
Kojin Oshiba,Harvard University
Yaron Singer,Harvard University
Qiuyu Zhu,Massachusetts General Hospital; Broad Institute; Harvard Medical School
Hans Kersting,"PhD Student, Max Planck Institute for Intelligent Systems"
Nicholas Krämer,University of Pittsburgh
Martin Schiegg,"Research Scientist, Bosch Center for AI"
Christian Daniel,"Electronic Engineering, Chung-Yuan Christian University"
Michael Schober,"Professor of Psychology, New School for Social Research"
Hicham Janati,"Phd student, Inria Saclay"
Marco Cuturi,Google Brain /  CREST-ENSAE.
Alexandre Gramfort,"INRIA, Univ. Paris-Saclay"
Stéphane d'Ascoli,"École Normale Supérieure, Paris"
Maria Refinetti,"Professor Titular, Faculdade de Arquitetura e Urbanismo USP"
Giulio Biroli,"Professor of Theoretical Physics, ENS Paris"
Florent Krzakala,"Ecole Normale Supérieure Paris, Sorbonne Université, LightOn"
Victor Campos,Universidade Federal do Ceará
Alexander Trott,Salesforce Research
Caiming Xiong,Salesforce Research
Richard Socher,Chief Scientist at Salesforce
Xavier Giro-i-Nieto,UPC Barcelona
Jordi  Torres,UPC Barcelona Tech - Barcelona Supercomputing Center
Brian Zhang,"PhD Student, Oxford University"
Samy Jelassi,Princeton University
Arthur Mensch,"DMA, École Normale Supérieure"
Joan Bruna,"Assistant Professor, Courant Institute of Mathematical Sciences, New York University"
Eugene Kharitonov,Facebook
Rahma Chaabouni,Facebook AI Research and CoML
Marco Baroni,ICREA Professor (Barcelona) and FAIR Research Scientist (Paris)
Filippo Maria Bianchi,Research scientist at Norwegian Research Centre
Daniele Grattarola,"Ph.D. Student, Università della Svizzera Italiana"
Cesare Alippi,Politecnico di Milano
Jianfei Chen,"Chair Professor of Ocean Eng., Southern University of Science and Technology"
Cheng Lu,"Academia Sinica, Taiwan"
Jun Zhu,"Professor of Biological & Agricultural Engineering, University of Arkansas"
Tian Tian,Singapore National Eye Center
Marie-Liesse Cauwet,"Mines Saint-Etienne, France"
Camille Couprie,Research scientist at Facebook AI Research
Pauline Luc,Deepmind
Jeremy Rapin,Research Engineer @ Facebook AI Research
Fabien Teytaud,Université du Littoral-Côte d'Opale
Olivier Teytaud,facebook
Nicolas Usunier,Facebook AI Research
Ron Amit,"Associate Prof. of Political Science, School of Social and Behavioral Sciences, Arizona State"
Ron Meir,"Professor of Electrical Engineeringe, Technion"
Haggai Maron,NVIDIA Research
Or Litany,"Postdoctoral Researcher, Stanford University"
Gal Chechik,"Bar Ilan University, NVIDIA"
Ethan Fetaya,Bar-Ilan Universityu
Wei Deng,CHUNG HUA UNIVERSITY
Qi Feng,"Research Assistant Professor of Materials Science, University of Washington"
Faming Liang,"Professor of Statistics,  Purdue University"
Guang Lin,"NDPH, Oxford University"
Georg Kohl,"PhD Student, Technical University of Munich"
Kiwon Um,Telecom Paris
Nils Thuerey,Technical University of Munich
Yuji Roh,KAIST
Kangwook Lee,University of Wisconsin-Madison
Steven Whang,"Professor, Stevens Institute of Technology"
Changho Suh,"Associate Professor of Electrical Engineering, KAIST"
Marc Abeille,Criteo
Clément Calauzènes,Criteo AI Lab
Daniele Zambon,Università della Svizzera italiana
Lorenzo Livi,University of Manitoba and University of Exeter
Erik Bodin,University of Bristol
Markus Kaiser,"Professor of Neuroinformatics, School of Computing, Newcastle University, UK"
Ieva Kazlauskaite,University of Cambridge
Zhenwen Dai,Spotify
Neill Campbell,"Royal Society Industry Fellow and Reader (Associate Professor), University of Bath"
Carl Henrik Ek,University of Cambridge
Dexiong Chen,Inria
Laurent Jacob,"CNRS, Université Lyon 1"
Julien Mairal,Inria - Univ. Grenoble Alpes
Haoran Sun,"Department of Chemistry, University of South Dakota, Vermillion, SD, USA 57069"
Cynthia Liu,University of Adelaide
Pin-Yu Chen,"Research Staff Member, IBM Research AI; MIT-IBM Watson AI Lab; RPI-IBM AIRC"
Shiyu Chang,MIT-IBM Watson AI Lab
Luca Daniel,Department of Psychiatry and Human Behavior - Brown University
Liang Ding,"National Sun Yat-sen University, National Chengchi University"
Rui Tuo,Texas A&M University
Shahin Shahrampour,Texas A&M University
Shaocong Ma,The Hong Kong University of Science and Technology
Yi Zhou,"Department of Medical and Molecular Science, Hiroshima University"
Mark Braverman,nan
Xinyi Chen,Lam Reaserch
Karthik Narasimhan,"Assistant Professor, Princeton University"
Cyril Zhang,"Professor of Economics, The University of Memphis"
Yi Zhang,University of Minnesota
Debmalya Panigrahi,Associate Professor of Computer Science at Duke University
Joey Bose,"McGill University, Mila"
Ariella Smofsky,McGill University and Mila
Renjie Liao,University of Toronto
Prakash Panangaden,"Professor of Computer Science, McGill University"
Will Hamilton,"Assistant Professor of Computer Science, McGill University and Mila"
Aleksei Ustimenko,Researcher at Yandex.
Ricky Loynd,Microsoft Research
Roland Fernandez,Microsoft Research
Asli Celikyilmaz,Microsoft Research
Adith Swaminathan,Microsoft Research
Matthew Hausknecht,Microsoft Research
Sarthak  Mittal,Uber ATG
Alex Lamb,"Université de Montréal, Google Brain, Amazon, Twitch PhD Fellow"
Vikram Voleti,"Mila, University of Montreal"
Murray Shanahan,Imperial College London / DeepMind
Guillaume Lajoie,"Assistant Professor, Applied Mathematics, Université de Montréal"
Michael Mozer,University of Colorado
Mingtian Zhang,"Chemistry, Center of Basic Molecular Science(CBMS), Tsinghua University"
Peter Hayes,"Professor of Hepatology, University of Edinburgh"
Thomas Bird,"Professor of Avian Physiology, University of Maryland"
Raza Habib,UCL
David Barber,University of Manitoba
Qijia Jiang,Stanford University
Harikrishna Narasimhan,Google LLC
Mahdi Milani Fard,"Machine Learning Researcher, Google Inc."
Yihong Gu,Princeton University
Shengjia Zhao,Stanford University
David Zoltowski,Princeton University
Jonathan Pillow,"Professor of Neuroscience & Psychology, Princeton University"
Scott Linderman,Stanford University
Evan Liu,Stanford University
Milad Hashemi,Google
Kevin Swersky,Google Brain
Partha Ranganathan,nan
Junwhan Ahn,Google
Karsten Roth,"Master Student, Computer Vision Group, Heidelberg University"
Timo Milbich,Heidelberg University
Prateek Gupta,University of Tennessee Health Science Center
Bjorn Ommer,"Professor for Scientific Computing, Heidelberg University"
Joseph Paul Cohen,"Postdoctoral Fellow, Mila, University of Montreal"
Changhee Lee,"EVP, Display Research Center, Samsung Display"
Yuchen Lu,ExxonMobil Research and Engineering Company
Soumye Singhal,"Mila, University of Montreal"
Florian Strub,DeepMind
Aaron Courville,Université de Montréal
Olivier Pietquin,Google Brain (On leave of Professor at University of Lille - CRIStAL - SequeL team)
Quoc Tran-Dinh,"Department of Statistics and Operations Research, UNC"
Lam Nguyen,"Center for Integrative Bioinformatics Vienna, University of Vienna"
Anson Kahng,Carnegie Mellon University
Ariel Procaccia,"Gordon McKay Professor of Computer Science, Harvard University"
Junqi Wang,City University of Hong Kong
Pei Wang,"Professor of genetics, Icahn School of Medicine at Mount Sinai"
Patrick Shafto,Rutgers University - Newark
Zhou Fan,Inception Institute of Artificial Intelligence
Cheng Mao,PhD candidate
Yihong Wu,Professor National University of Singapore
Jiaming Xu,Baylor College of Medicine
Cong Xie,University of Illinois at Urbana-Champaign
Indranil Gupta,"Professor, Computer Science, University of Illinois Urbana-Champaign"
Mao Ye,"Ph.D. , The Penn State University"
Chengyue Gong,University of Texas at Austin
Denny Zhou,"Research Scientist, Google Brain"
Adam Klivans,"Professor of Computer Science, University of Texas at Austin"
Qiang Liu,Cleveland Clinic Foundation
Asaf Cassel,"School of Computer Science, Tel Aviv University"
Alon Cohen,Google
Tomer Koren,"School of Computer Science, Tel Aviv University"
Cong Han Lim,Uber ATG
Raquel Urtasun,"Associate Professor, University of Toronto"
Ersin Yumer,Uber ATG
Shali Jiang,Washington University in St. Louis
Henry Chai,朝陽科技大學工業工程與管理系教授
Javier Gonzalez,"Postdoctoral Researcher, University of Delaware"
Roman Garnett,Washington University in St. Louis
Lingxiao Wang,"University of California, Los Angeles"
Jiacheng Cheng,"Institute of Crustal Dynamics, China Earthquake Administration"
 Hassan Rafique,"YB Chavan College of Pharmacy, Dr Rafiq Zakaria Campus, Aurangabad (MS) India"
Tong Wang,"Ph. D. candidate of Materials Science, Shanghai Jiao Tong University"
Qihang Lin,The University of Iowa
Jessica Hoffmann,Northeastern University
Soumya Basu,"Graduate Student, Cornell University"
Surbhi Goel,"PhD Student, Department of Computer Science, University of Texas at Austin"
Constantine Caramanis,"Professor of Electrical and Computer Engineering, UT Austin"
Quentin Bertrand,INRIA Paris-Saclay
Quentin Klopfenstein,"Institut Mathématiques de Bourgogne, Université de Bourgogne"
Mathieu Blondel,Google
Samuel Vaiter,"CNRS researcher at IMB, Dijon, France"
Joseph Salmon,University of Wisconsin–Madison
Xiao Li,University of Electronic Science and Technology
Chenghua Lin,"Senior Lecturer in Natural Language Processing, University of Sheffield"
Ruizhe Li,青海省畜牧兽医科学院
Chaozheng Wang,Tianjin university
Frank Guerin,University of Surrey
Julian De Freitas,Harvard University
Nick Haber,"Assistant Professor, Stanford University"
Daniel Yamins,"Assistant Professor of Computer Science and Psychology, Stanford University"
Jimeng Sun,Professor at University of Illinois Urbana-Champaign
Chao Zhang,"student of business management, Salford University"
Farzan Farnia,"Postdoctoral Scholar, Massachusetts Institute of Technology"
Asuman Ozdaglar,"EECS, MIT"
Andrew Patterson,"Regents Professor and Head, Plant Genome Mapping Laboratory, University of Georgia"
Shivam Garg,"PhD student, Carleton University"
Dhawal Gutpa,Ministry of Electronics & Information Technology
Adam White,"Postdoc, Stanford University"
Martha White,University of Alberta
Huang Fang,University of Science and Technology of China
Nick Harvey,MRC Southampton
Michael Friedlander,"IBM Professor of Computational Mathematics, University of British Columbia"
Kiran Tomlinson,Cornell University
Austin Benson,Cornell Universty
Jingzhao Zhang,Emory University
Hongzhou Lin,"Hangzhou Institute of Advanced Studies, Zhejiang Normal University"
Ali Jadbabaie,"JR East Professor of Engineering, MIT"
Mengye Ren,"University of Toronto, Uber Advanced Technologies Group"
Ali Shafahi,"Graduate Research Assistant, University of Maryland"
Aaron Lou,"Dean of Engineering, Washington Univ in St. Louis"
Isay Katsman,"Undergraduate Student, Cornell University"
Qingxuan Jiang,Cornell University
Serge Belongie,"Professor of Computer Science, Cornell University and Cornell Tech"
Sernam Lim Lim,Facebook AI
Andrey Kolobov,Microsoft Research
Julian Zimmert,University of Copenhagen
Feng Wei,The University of Sydney
Pan Xu,Boston College
Quanquan Gu,"Assistant Professor of Computer Science, UCLA"
Chongxuan Li,Tsinghua University
Bo Zhang,The First Affiliated Hospital of Nanjing Medical University
Arturs Backurs,Toyota Technological Institute at Chicago
Yihe Dong,Microsoft Research AI
Piotr Indyk,"Professor of Electrical Engineering and Computer Science, MIT"
Ilya Razenshteyn,Microsoft Research
Richard Nock,Swansea School of Management
Aditya Menon,"Research Scientist, Google"
Xiyu Yu,USDA-ARS
Kayhan Batmanghelich,"Assistant Professor, University of Pittsburgh"
Wei Wu,william225225@hotmail.com
Duo Chai,Shannon AI
Qinghong Han,Shannon.AI
Fei Wu,"Professor of Computer Science, Zhejiang University"
Jiwei Li,"Shannon.AI, Dept. of Computer Science, Stanford University"
Tianyu Wang,Peking University
Cynthia Rudin,"Professor of Computer Science, ECE, and Statistics, Duke University"
Xi-Zhu Wu,"PhD candidate, Nanjing University"
Sheng-Jun Huang,Nanjing University of Aeronautics & Astronautics
Zhi-Hua Zhou,Nanjing University
LEI FENG,"Institute of Metal Research, Chinese Academy of Science"
Kaveh Hassani,Research Scientist @ Autodesk AI Lab
Amir Hosein Khasahmadi,"University of Toronto, Vector Institute for Artificial Intelligence"
Xianggen Liu,Tsinghua University
Jian Peng,University of Illinois at Urbana-Champaign
Sen  Song ,"Department of Atmosphere Sciences, Sun Yat-sen University"
Yanwei Fu,Fudan University
Chen Liu,"Professor and Chair, Rutgers University"
Donghao Li,Study at Northeastern University
Xinwei Sun,Peking University
Jinshan ZENG,"School of Computer and Information Engineering, Jiangxi Normal University"
Yuan Yao,"Assitant Professor of Applied Chemistry, National University of Kaohsiung"
Liang Bai,"Professor of Computer Science, Shanxi university"
Jiye Liang,山西大学计算智能与中文信息处理教育部重点实验室教授
Sen Wu,National Pingtung University
Hongyang Zhang,"Professor, The University of Toledo"
Gregory Valiant,"Assistant Professor of Computer Science, Stanford University"
Christopher Re,"Computer Science, Stanford University"
Hong Chen,"Chair Professor of Electronic Engineering, City University of Hong Kong"
guodong liu,"Shandong University, China"
Andrey Voynov,"Researcher, Yandex"
Artem Babenko,Yandex
Mehul Motani,National University of Singapore
Hankook Lee,Hankook Tire - America Technical Center
Kezhen Chen,Northwestern University
Qiuyuan Huang,"Microsoft Research, Redmond"
Hamid Palangi,Senior Researcher at Microsoft Research Lab - AI
Paul Smolensky,"Microsoft Research AI & Krieger-Eisenhower Professor of Cognitive Science, Johns Hopkins …"
Ken Forbus,"Professor of Computer Science, Northwestern University"
Jianfeng Gao,"Microsoft Research, Redmond"
Zahra Monfared,"Postdoc at Dept. of Theoretical Neuroscience, CIMH Mannheim/ University of Heidelberg"
Daniel Durstewitz,"Professor for Theoretical Neuroscience, CIMH/ Heidelberg University"
Amos Gropp,"Graduate Student, Weizmann Institute of Science"
Lior Yariv,"Computer Science MSc student, Weizmann Institute"
Niv Haim,Weizmann Institute of Science
Matan Atzmon,Weizmann Institute of Science
Yaron Lipman,Weizmann Institute
Tong Yu,"Distinguished Scientist and Vice General Manager, Tencent AI Lab"
Branislav Kveton,Google Research
Zheng Wen,"Professor of Manufacturing Systems, University of Exeter"
Ruiyi Zhang,Duke University
Johannes Fischer,TU Dortmund
Sahin Tas,FZI Research Center for Information Technology & Karlsruhe Institute of Technology
Badr-Eddine Chérief-Abdellatif,"PhD Student, CREST - ENSAE - Institut Polytechnique de Paris"
Yunbo Wang,NVIDIA Corp.
Mingsheng Long,"Associate Professor, Tsinghua University"
Jianmin Wang,"School of Software, Tsinghua University"
Fred Roosta,University of Queensland
Alessandro Luongo,"Collaboratore di ricerca, facoltà di ingegneria, Università Federico II di Napoli"
Iordanis Kerenidis,CNRS Senior Researcher & QC WARE
Anupam Prakash,"Lady Hardinge Medical College & associated Hospitals, New Delhi, India"
Alex Nowak,University of Stuttgart
Alessandro Rudi,INRIA - École Normale Supérieure
Prashanth L.A.,"Assistant Professor, Department of Computer Science and Engg., IIT Madras"
Krishna Jagannathan,"Associate Professor, Department of Electrical Engineering, IIT Madras"
Ravi Kolla,"Director of Technology Development, La Jolla Institute for Allergy & Immunology"
Yuan Deng,"Professor of School of Materials Science & Engineering, Beihang University；北京航空航天 …"
Sébastien Lahaie,Google Research
Vahab Mirrokni,"Distinguished Scientist, Google Research, New York"
Akihiro Yoshida,Case Western Reserve University
Katsuki Fujisawa,"Professor, Institute of Mathematics for Industry, Kyushu University"
Emilien Dupont,"PhD student, University of Oxford"
Alex Colburn,University of Washington
Aditya Sankar,"Centre for Chromosome Stability, University of Copenhagen"
Josh M Susskind,Apple AI Research
Qi Shan,"Apple, University of Washington"
Sivan Sabato,Ben Gurion University of the Negev
Elad Yom-Tov,Microsoft Research
samuel cohen,"Professor of Pathology and Microbiology, Univ. of Nebraska Medical Center"
Rendani Mbuvha,Lecturer in Statistics and Actuarial Science University of Witwatersrand
Tshilidzi Marwala,"Professor of Artificial Intelligence, University of Johannesburg"
Marc Deisenroth,University College London
Alexander Rakhlin,"Machine Learning Engineer, Researcher"
Ming Chen,"Shenyang National Laboratory for Materials Science, Institute of Metal Research, CAS"
Zhewei Wei,Augusta University
Zengfeng Huang,Fudan University
Bolin Ding,"Senior Staff Engineer, Alibaba Group"
Yaliang Li,Alibaba Group
Yuanyu Wan,Nanjing University
Wei-Wei Tu,"Jiangsu University,  TU Dresden"
Lijun Zhang,nan
Seong-Jin Park,POSTECH
Seungju Han,"Samsung Advanced Institute of Technology, University of Florida"
Insoo Kim,"Nanophotonics Research Center, Korea Institute of Science and Technology (KIST)"
Hae Beom Lee,Chungnam National University
Daniel Baker,"professor of astrophysics, university of colorado-boulder"
Vladimir Braverman,"Associate Professor of Computer Science, Johns Hopkins University"
Lingxiao Huang,Yale School of Management
Robert Krauthgamer,Weizmann Institute of Science
Xuan Wu,"Xuanwu hospital, Capital Medical University"
Yanzhi Chen,"School of Informatics, The University of Edinburgh"
Renjie Xie,"Department of Nephrology, Molecular Cell Laboratory for Kidney Disease  Renji Hospital …"
Xi Liu,Tsinghua University
Ping-Chun Hsieh,"Assistant Professor, National Chiao Tung University"
Anirban  Bhattacharya,"Associate Professor, Texas A&M University"
P. Kumar,"Professor of Physics, Indian Institute of Technology Madras"
Yu Guang Wang,University of New South Wales; Max Planck Institute for Mathematics in Sciences
Ming Li,"Dr. Chemistry, The University of Hong Kong"
Zheng Ma,"Professor of Electrical Engineering, Massachusetts Institute of Technology"
Guido Montufar,UCLA Math / Stat
Xiaosheng Zhuang,City University of Hong Kong
Yanan Fan,"Associate Professor in Statistics, University of New South Wales"
Gregory Plumb,Carnegie Mellon University
Jonathan Terhorst,"Department of Statistics, UC Berkeley"
